time;modality;value;absorbance_prot;C_prot;;activity
j5;10µg/L_day5;0,064;2,245;2,37181818181818;82983,6429890984;0,236659317343128
j5;10µg/L_day5;0,111;2,576;2,70281818181818;126299,044063855;0,3601896045124
j5;10µg/L_day5;0,162;2,959;3,08581818181818;161450,203729333;0,460436462213552
j5;10µg/L_day5;0,277;2,696;2,82281818181818;301780,225992724;0,860640720249836
j5;10µg/L_day5;0,32;3,328;3,45481818181818;284851,622975236;0,812362391058891
j5;10µg/L_day5;0,081;2,075;2,20181818181818;113135,130375485;0,322647714148985
j5;10µg/L_day5;0,168;2,312;2,43881818181818;211847,710130172;0,604164057568522
j5;10µg/L_day5;0,136;2,886;3,01281818181818;138822,512804965;0,395905023314012
j5;100µg/L_day5;0,186;2,956;3,08281818181818;185549,141354813;0,529163718835558
j5;100µg/L_day5;0,298;2,341;2,46781818181818;371361,622790018;1,0590784517434
j5;100µg/L_day5;0,101;2,597;2,72381818181818;114034,739734989;0,325213291282345
j5;100µg/L_day5;0,119;2,708;2,83481818181818;129096,856773264;0,368168628112866
j5;100µg/L_day5;0,18;2,939;3,06581818181818;180559,368052705;0,514933488625865
j5;100µg/L_day5;0,146;2,6;2,72681818181818;164660,940289785;0,469593094715996
j5;100µg/L_day5;0,215;2,093;2,21981818181818;297861,911423501;0,849466160810336
j5;100µg/L_day5;0,441;2,466;2,59281818181818;523070,758883388;1,49173456672367
j10;10µg/L_day10;0,261;1,986;2,11281818181818;379902,628368129;2,32401832999809
j10;10µg/L_day10;0,038;2,861;2,98781818181818;39113,1998742298;0,239271293918258
j10;10µg/L_day10;0,048;2,196;2,32281818181818;63550,6412347533;0,388765025783354
j10;10µg/L_day10;0,149;2,607;2,73381818181818;167614,103023707;1,02536339236858
j10;10µg/L_day10;0,056;2,729;2,85581818181818;60304,7316447246;0,368908481444225
j10;10µg/L_day10;0,067;1,955;2,08181818181818;98975,0937870043;0,605470757499965
j10;10µg/L_day10;0,302;2,978;3,10481818181818;299133,247887651;1,82991929850277
j10;10µg/L_day10;0,187;2,871;2,99781818181818;191836,054500102;1,17353888528704
j10;100µg/L_day10;0,155;2,81;2,93681818181818;162311,2245907;0,992923536048034
j10;100µg/L_day10;0,103;1,849;1,97581818181818;160318,692986302;0,980734412767648
j10;100µg/L_day10;0,043;2,781;2,90781818181818;45477,3472965613;0,278203362716625
j10;100µg/L_day10;0,116;2,901;3,02781818181818;117820,839567161;0,720757821513451
j10;100µg/L_day10;0,044;2,954;3,08081818181818;43921,8398695767;0,268687693429764
