number;time;modality;value;C_prot;value2;activity
9;j5;10µg/L_day5;0,072;2,62681818181818;0,46505754759778;1,55641749530716
10;j5;10µg/L_day5;0,0151;3,03381818181818;0,605427433906398;2,02619623127978
12;j5;10µg/L_day5;0,119;3,12681818181818;0,228191558326752;0,76369330095968
15;j5;10µg/L_day5;0,098;2,99081818181818;0,31447600066707;1,05246318831014
16;j5;10µg/L_day5;0,098;3,02681818181818;0,310735724461509;1,03994553032634
17;j5;100µg/L_day5;0,149;2,73381818181818;0,142361036215785;0,476442557616415
18;j5;100µg/L_day5;0,115;2,51681818181818;0,300679946697646;1,00629165561461
19;j5;100µg/L_day5;0,162;2,02481818181818;0,122800481979757;0,41097885535394
21;j5;100µg/L_day5;0,142;3,04081818181818;0,152874929400386;0,511629616467156
23;j5;100µg/L_day5;0,16;2,16081818181818;0,125077747190583;0,418600224868083
24;j5;100µg/L_day5;0,094;2,78081818181818;0,353774939410298;1,18398574099832
9;j10;10µg/L_day10;0,061;3;0,446846846846847;0,605647664471194
11;j10;10µg/L_day10;0,1;2,823;0,325511483853673;0,441192035583726
12;j10;10µg/L_day10;0,087;2,054;0,515803047448617;0,699109579084599
14;j10;10µg/L_day10;0,043;2,826;0,543218377613282;0,736267792915807
17;j10;100µg/L_day10;0,129;2,853;0,212199581284755;0,287611251402487
18;j10;100µg/L_day10;0,201;2,931;-0,0590150027202228;-0,0799878052591798
19;j10;100µg/L_day10;0,104;2,609;0,3356365180819;0,454915313203984
20;j10;100µg/L_day10;0,219;2,853;-0,128835460065744;-0,174621116922938
21;j10;100µg/L_day10;0,084;2,75;0,397051597051597;0,538156135879096
22;j10;100µg/L_day10;0,189;2,633;-0,0164235637080301;-0,0222601839360668
23;j10;100µg/L_day10;0,114;2,674;0,287048454587722;0,389059981821255
