number;time;modality;value;C_prot;activity
1;j10;ctrl;0,089;3;0,345945945945946
2;j10;ctrl;0,039;1,865;0,846315484385189
3;j10;ctrl;0,032;2,896;0,571151261758997
4;j10;ctrl;0,032;1,801;0,918408691867881
5;j10;ctrl;0,03;2,662;0,629479968322944
6;j10;ctrl;0,037;1,769;0,904465799886942
9;j10;10µg/L;0,061;3;0,446846846846847
10;j10;10µg/L;0,046;0,618;2,4315577713636
11;j10;10µg/L;0,1;2,823;0,325511483853673
12;j10;10µg/L;0,087;2,054;0,515803047448617
14;j10;10µg/L;0,043;2,826;0,543218377613282
17;j10;100µg/L;0,129;2,853;0,212199581284755
18;j10;100µg/L;0,201;2,931;-0,0590150027202228
19;j10;100µg/L;0,104;2,609;0,3356365180819
20;j10;100µg/L;0,219;2,853;-0,128835460065744
21;j10;100µg/L;0,084;2,75;0,397051597051597
22;j10;100µg/L;0,189;2,633;-0,0164235637080301
23;j10;100µg/L;0,114;2,674;0,287048454587722
24;j10;100µg/L;0,058;2,744;0,500354581987235
