time;modality;biomarker;absorbance;poid_humide;value ;C_glyco_ug
j5;ctrl;gly;0,045;0,015;3,00;644
j5;ctrl;gly;0,013;0,018;0,72;137,827160493827
j5;ctrl;gly;0,192;0,073;2,63;561,808219178082
j5;10µg/L;gly;0,008;0,021;0,38;61,989417989418
j5;10µg/L;gly;0,021;0,11;0,19;19,7575757575758
j5;10µg/L;gly;0,017;0,058;0,29;42,4674329501916
j5;10µg/L;gly;0,016;0,054;0,30;43,1769547325103
j5;10µg/L;gly;0,014;0,16;0,09;-3,22222222222222
j5;100µg/L;gly;0,006;0,16;0,04;-14,3333333333333
j5;100µg/L;gly;0,006;0,15;0,04;-13,7777777777778
j5;100µg/L;gly;0,013;0,11;0,12;3,5959595959596
j5;100µg/L;gly;0,006;0,03;0,20;21,7777777777778
j5;100µg/L;gly;0,006;0,18;0,03;-15,2592592592593
