time;modality;value;C_prot;activity
j5;ctrl;0,033;2,359;0,155694
j5;ctrl;0,005;1,239;0,01239
j5;ctrl;0,009;1,788;0,032184
j5;ctrl;0,005;1,203;0,01203
j5;ctrl;0,025;2,605;0,13025
j5;ctrl;0,024;2,531;0,121488
j5;ctrl;0,018;2,373;0,085428
j5;10µg/L;0,034;2,731;0,185708
j5;10µg/L;0,03;2,75;0,165
j5;10µg/L;0,04;2,665;0,2132
j5;10µg/L;0,043;2,776;0,238736
j5;10µg/L;0,03;2,658;0,15948
j5;10µg/L;0,022;2,728;0,120032
j5;10µg/L;0,022;2,938;0,129272
j5;100µg/L;0,012;2,642;0,063408
j5;100µg/L;0,022;2,5;0,11
j5;100µg/L;0,035;1,326;0,09282
j5;100µg/L;0,022;1,975;0,0869
j5;100µg/L;0,023;2,804;0,128984
