time;modality;value;absorbance_prot;C_prot;activity
j5;ctrl;0,24;2,065;2,19181818181818;336744,59439842
j5;ctrl;0,398;1,744;1,87081818181818;654252,523615593
j5;ctrl;0,056;2,632;2,75881818181818;62425,0449760233
j5;ctrl;0,054;2,725;2,85181818181818;58232,5546210657
j5;ctrl;0,339;2,733;2,85981818181818;364548,396002959
j5;ctrl;0,462;0,857;0,983818181818182;1444179,0730984
j5;10µg/L;0,064;2,245;2,37181818181818;82983,6429890984
j5;10µg/L;0,111;2,576;2,70281818181818;126299,044063855
j5;10µg/L;0,162;2,959;3,08581818181818;161450,203729333
j5;10µg/L;0,277;2,696;2,82281818181818;301780,225992724
j5;10µg/L;0,32;3,328;3,45481818181818;284851,622975236
j5;10µg/L;0,081;2,075;2,20181818181818;113135,130375485
j5;10µg/L;0,168;2,312;2,43881818181818;211847,710130172
j5;10µg/L;0,136;2,886;3,01281818181818;138822,512804965
j5;100µg/L;0,186;2,956;3,08281818181818;185549,141354813
j5;100µg/L;0,298;2,341;2,46781818181818;371361,622790018
j5;100µg/L;0,101;2,597;2,72381818181818;114034,739734989
j5;100µg/L;0,119;2,708;2,83481818181818;129096,856773264
j5;100µg/L;0,18;2,939;3,06581818181818;180559,368052705
j5;100µg/L;0,146;2,6;2,72681818181818;164660,940289785
j5;100µg/L;0,215;2,093;2,21981818181818;297861,911423501
j5;100µg/L;0,441;2,466;2,59281818181818;523070,758883388
